locus_tag	ftype	gene	product	EC_number	COG
AENJPLPP_00202	CDS		putative RNA methyltransferase	2.1.1.-	COG2265
AENJPLPP_00203	CDS		hypothetical protein		
AENJPLPP_00204	CDS	aes_1	Acetyl esterase	3.1.1.-	
AENJPLPP_00205	CDS	melR_2	HTH-type transcriptional repressor MelR		COG1609
AENJPLPP_00206	CDS	melA	Alpha-galactosidase Mel36A	3.2.1.22	COG3345
AENJPLPP_00207	CDS	lacL	Beta-galactosidase large subunit	3.2.1.23	COG3250
AENJPLPP_00208	CDS	lacM	Beta-galactosidase small subunit	3.2.1.23	COG3250
AENJPLPP_00209	CDS	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase	2.5.1.54	COG2876
AENJPLPP_00210	CDS	aroB	3-dehydroquinate synthase	4.2.3.4	COG0337
AENJPLPP_00211	CDS	aroC	Chorismate synthase	4.2.3.5	COG0082
AENJPLPP_00212	CDS		hypothetical protein		
AENJPLPP_00213	CDS	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	2.5.1.19	COG0128
AENJPLPP_00214	CDS	aroK	Shikimate kinase	2.7.1.71	COG0703
AENJPLPP_00215	CDS	pheA	Bifunctional chorismate mutase/prephenate dehydratase		
AENJPLPP_00216	CDS		hypothetical protein		
AENJPLPP_00217	CDS	rhaR_1	HTH-type transcriptional activator RhaR		
AENJPLPP_00218	CDS	cheB	Protein-glutamate methylesterase/protein-glutamine glutaminase	3.5.1.44	
AENJPLPP_00219	CDS	lacE_1	Lactose-binding protein		
AENJPLPP_00220	CDS	lacF_1	Lactose transport system permease protein LacF		
AENJPLPP_00221	CDS	lacG_1	Lactose transport system permease protein LacG		
AENJPLPP_00222	CDS	umpB_1	Na(+), Li(+), K(+)/H(+) antiporter subunit B		
AENJPLPP_00223	CDS	umpB_2	Na(+), Li(+), K(+)/H(+) antiporter subunit B		
AENJPLPP_00224	CDS		hypothetical protein		
AENJPLPP_00225	CDS		hypothetical protein		
AENJPLPP_00226	CDS		hypothetical protein		
AENJPLPP_00227	CDS	gpmA_1	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	5.4.2.11	
AENJPLPP_00228	CDS	gph_1	Phosphoglycolate phosphatase	3.1.3.18	COG0546
AENJPLPP_00229	CDS		hypothetical protein		
AENJPLPP_00230	CDS	tcyP	L-cystine uptake protein TcyP		COG1823
AENJPLPP_00231	CDS		hypothetical protein		
AENJPLPP_00232	CDS		hypothetical protein		
AENJPLPP_00233	CDS		hypothetical protein		
AENJPLPP_00234	CDS	pphA	Serine/threonine-protein phosphatase 1	3.1.3.16	COG0639
AENJPLPP_00235	CDS	yhgF	Protein YhgF		COG2183
AENJPLPP_00236	CDS		Protein SprT-like protein		
AENJPLPP_00237	CDS	ydcF	Protein YdcF		COG1434
AENJPLPP_00238	CDS	murC	UDP-N-acetylmuramate--L-alanine ligase	6.3.2.8	
AENJPLPP_00239	CDS		hypothetical protein		
AENJPLPP_00240	CDS	ybhL	Inner membrane protein YbhL		COG0670
AENJPLPP_00241	CDS	polA	DNA polymerase I	2.7.7.7	
AENJPLPP_00242	CDS	mutM	Formamidopyrimidine-DNA glycosylase	3.2.2.23	COG0266
AENJPLPP_00243	CDS	coaE	Dephospho-CoA kinase	2.7.1.24	
AENJPLPP_00244	CDS		hypothetical protein		
AENJPLPP_00245	CDS	nrdR	Transcriptional repressor NrdR		COG1327
AENJPLPP_00246	CDS	dnaB	Replication initiation and membrane attachment protein		COG3611
AENJPLPP_00247	CDS	dnaI_1	Primosomal protein DnaI		COG1484
AENJPLPP_00248	CDS	dnaI_2	Primosomal protein DnaI		COG1484
AENJPLPP_00249	CDS		hypothetical protein		
AENJPLPP_00250	CDS		ISL3 family transposase ISEfa5		
AENJPLPP_00251	CDS	trmK	tRNA (adenine(22)-N(1))-methyltransferase	2.1.1.217	COG2384
AENJPLPP_00252	CDS		GTP cyclohydrolase 1 type 2 		COG0327
AENJPLPP_00253	CDS		GTP cyclohydrolase 1 type 2 		COG0327
AENJPLPP_00254	CDS	pepT	Peptidase T	3.4.11.4	
AENJPLPP_00255	CDS	dagK_2	Diacylglycerol kinase	2.7.1.107	COG1597
AENJPLPP_00256	CDS		hypothetical protein		
AENJPLPP_00257	CDS		hypothetical protein		
AENJPLPP_00258	CDS	clpB	Chaperone protein ClpB		COG0542
AENJPLPP_00259	CDS		hypothetical protein		
AENJPLPP_00260	CDS		hypothetical protein		
AENJPLPP_00261	CDS	eis_1	N-acetyltransferase Eis	2.3.1.-	
AENJPLPP_00262	CDS	lepA	Elongation factor 4	3.6.5.-	
AENJPLPP_00263	CDS	xerC_2	Tyrosine recombinase XerC		
AENJPLPP_00264	CDS		IS30 family transposase IS1252		COG2826
AENJPLPP_00265	CDS		IS256 family transposase ISEf1		
AENJPLPP_00266	CDS		hypothetical protein		
AENJPLPP_00267	CDS		hypothetical protein		
AENJPLPP_00268	CDS		hypothetical protein		
AENJPLPP_00269	CDS	fabG_1	3-oxoacyl-[acyl-carrier-protein] reductase FabG	1.1.1.100	
AENJPLPP_00270	CDS	licR_1	putative licABCH operon regulator		COG1762
AENJPLPP_00271	CDS		hypothetical protein		
AENJPLPP_00272	CDS	srlA	PTS system glucitol/sorbitol-specific EIIC component		COG3730
AENJPLPP_00273	CDS	srlE	PTS system glucitol/sorbitol-specific EIIB component	2.7.1.198	COG3732
AENJPLPP_00274	CDS		IS110 family transposase ISSpn10		
AENJPLPP_00275	CDS	srlB	PTS system glucitol/sorbitol-specific EIIA component		COG3731
AENJPLPP_00276	CDS	fsaA	Fructose-6-phosphate aldolase 1	4.1.2.-	COG0176
AENJPLPP_00277	CDS	prsA_1	Foldase protein PrsA	5.2.1.8	
AENJPLPP_00278	CDS		hypothetical protein		
AENJPLPP_00279	CDS		hypothetical protein		
AENJPLPP_00280	CDS		hypothetical protein		
AENJPLPP_00281	CDS		hypothetical protein		
AENJPLPP_00282	CDS	spxA_1	Regulatory protein Spx		COG1393
AENJPLPP_00283	CDS	sttH	Streptothricin hydrolase	3.5.2.19	
AENJPLPP_00284	CDS		hypothetical protein		
AENJPLPP_00285	CDS	aes_2	Acetyl esterase	3.1.1.-	
AENJPLPP_00286	CDS		hypothetical protein		
AENJPLPP_00287	CDS	murR_1	HTH-type transcriptional regulator MurR		COG1737
AENJPLPP_00288	CDS		6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating	1.1.1.343	COG1023
AENJPLPP_00289	CDS	fldH	Phenyllactate dehydrogenase	1.1.1.-	
AENJPLPP_00290	CDS		hypothetical protein		
AENJPLPP_00291	CDS	hcxA	Hydroxycarboxylate dehydrogenase A	1.1.1.-	COG0371
AENJPLPP_00292	CDS		hypothetical protein		
AENJPLPP_00293	CDS	manZ_1	PTS system mannose-specific EIID component		COG3716
AENJPLPP_00294	CDS	sorB_1	PTS system sorbose-specific EIIB component	2.7.1.206	COG3444
AENJPLPP_00295	CDS		hypothetical protein		
AENJPLPP_00296	CDS		hypothetical protein		
AENJPLPP_00297	CDS	manX_1	PTS system mannose-specific EIIAB component	2.7.1.191	
AENJPLPP_00298	CDS	uxuA_1	Mannonate dehydratase	4.2.1.8	COG1312
AENJPLPP_00299	CDS	ppaX	Pyrophosphatase PpaX	3.6.1.1	
AENJPLPP_00300	CDS		hypothetical protein		
AENJPLPP_00301	CDS	cspL	Cold shock protein 2		COG1278
AENJPLPP_00302	CDS		hypothetical protein		
AENJPLPP_00303	CDS		hypothetical protein		
AENJPLPP_00304	CDS		hypothetical protein		
AENJPLPP_00305	CDS		hypothetical protein		
AENJPLPP_00306	CDS		hypothetical protein		
AENJPLPP_00308	CDS		hypothetical protein		
AENJPLPP_00309	CDS	yidA_1	Sugar phosphatase YidA	3.1.3.23	COG0561
AENJPLPP_00310	CDS	gspA_1	General stress protein A		COG1442
AENJPLPP_00311	CDS	gspA_2	General stress protein A		COG1442
AENJPLPP_00312	CDS		hypothetical protein		
AENJPLPP_00313	CDS		hypothetical protein		
AENJPLPP_00314	CDS	yghA	putative oxidoreductase YghA	1.-.-.-	
AENJPLPP_00315	CDS		hypothetical protein		
AENJPLPP_00316	CDS		hypothetical protein		
AENJPLPP_00317	CDS		hypothetical protein		
AENJPLPP_00318	CDS		hypothetical protein		
AENJPLPP_00319	CDS		hypothetical protein		
AENJPLPP_00320	CDS		hypothetical protein		
AENJPLPP_00321	CDS		hypothetical protein		
AENJPLPP_00322	CDS		hypothetical protein		
AENJPLPP_00323	CDS		hypothetical protein		
AENJPLPP_00324	CDS		Stress response regulator gls24 		
AENJPLPP_00325	CDS		hypothetical protein		
AENJPLPP_00326	CDS		ISL3 family transposase ISEfa11		
AENJPLPP_00327	CDS	amt	Ammonia channel		
AENJPLPP_00328	CDS	gadC_1	Glutamate/gamma-aminobutyrate antiporter		COG0531
AENJPLPP_00329	CDS	glsA	Glutaminase	3.5.1.2	COG2066
AENJPLPP_00330	CDS		hypothetical protein		
AENJPLPP_00331	CDS	dxs	1-deoxy-D-xylulose-5-phosphate synthase	2.2.1.7	COG1154
AENJPLPP_00332	CDS		hypothetical protein		
AENJPLPP_00333	CDS	nanE_1	Putative N-acetylmannosamine-6-phosphate 2-epimerase	5.1.3.9	
AENJPLPP_00334	CDS		hypothetical protein		
AENJPLPP_00335	CDS		hypothetical protein		
AENJPLPP_00336	CDS	ftsW_1	putative peptidoglycan glycosyltransferase FtsW	2.4.1.129	COG0772
AENJPLPP_00337	CDS	msrR	Regulatory protein MsrR		
AENJPLPP_00338	CDS		hypothetical protein		
AENJPLPP_00339	CDS	pbp	Beta-lactam-inducible penicillin-binding protein		COG0768
AENJPLPP_00340	CDS	napA_1	Na(+)/H(+) antiporter		
AENJPLPP_00341	CDS	napA_2	Na(+)/H(+) antiporter		
AENJPLPP_00342	CDS		hypothetical protein		
AENJPLPP_00343	CDS		hypothetical protein		
AENJPLPP_00344	CDS	ahpF	NADH dehydrogenase	1.6.99.3	
AENJPLPP_00345	CDS	ahpC	Alkyl hydroperoxide reductase C	1.11.1.15	COG0450
AENJPLPP_00346	CDS	rspR_1	HTH-type transcriptional repressor RspR		COG1802
AENJPLPP_00347	CDS	uxuA_2	Mannonate dehydratase	4.2.1.8	
AENJPLPP_00348	CDS	uxuA_3	Mannonate dehydratase	4.2.1.8	COG1312
AENJPLPP_00349	CDS		hypothetical protein		
AENJPLPP_00350	CDS		hypothetical protein		
AENJPLPP_00351	CDS		hypothetical protein		
AENJPLPP_00352	CDS		hypothetical protein		
AENJPLPP_00353	CDS	ohrR	Organic hydroperoxide resistance transcriptional regulator		
AENJPLPP_00354	CDS	ohrA	Organic hydroperoxide resistance protein OhrA		COG1764
AENJPLPP_00355	CDS		hypothetical protein		
AENJPLPP_00356	CDS		hypothetical protein		
AENJPLPP_00357	CDS	bbmA	Intracellular maltogenic amylase	3.2.1.-	COG0366
AENJPLPP_00358	CDS	mdxE	Maltodextrin-binding protein MdxE		COG2182
AENJPLPP_00359	CDS		hypothetical protein		
AENJPLPP_00360	CDS	malG	Maltose/maltodextrin transport system permease protein MalG		COG3833
AENJPLPP_00361	CDS		hypothetical protein		
AENJPLPP_00362	CDS	cfa	Cyclopropane-fatty-acyl-phospholipid synthase	2.1.1.79	COG2230
AENJPLPP_00363	CDS		hypothetical protein		
AENJPLPP_00364	CDS	pyrDA	Dihydroorotate dehydrogenase A (fumarate)	1.3.98.1	COG0167
AENJPLPP_00365	CDS	nylA	6-aminohexanoate-cyclic-dimer hydrolase	3.5.2.12	
AENJPLPP_00366	CDS	yckB	putative ABC transporter extracellular-binding protein YckB		COG0834
AENJPLPP_00367	CDS	yecS_1	L-cystine transport system permease protein YecS		COG0765
AENJPLPP_00368	CDS		hypothetical protein		
AENJPLPP_00369	CDS		hypothetical protein		
AENJPLPP_00370	CDS		hypothetical protein		
AENJPLPP_00371	CDS	gmk_1	Guanylate kinase	2.7.4.8	COG0194
AENJPLPP_00372	CDS	nupC	Nucleoside permease NupC		COG1972
AENJPLPP_00373	CDS		hypothetical protein		
AENJPLPP_00374	CDS		hypothetical protein		
AENJPLPP_00375	CDS		hypothetical protein		
AENJPLPP_00376	CDS		hypothetical protein		
AENJPLPP_00377	CDS		hypothetical protein		
AENJPLPP_00378	CDS		hypothetical protein		
AENJPLPP_00379	CDS		hypothetical protein		
AENJPLPP_00380	CDS	ygaZ_1	Inner membrane protein YgaZ		COG1296
AENJPLPP_00381	CDS		hypothetical protein		
AENJPLPP_00382	CDS	murJ_1	Lipid II flippase MurJ		COG2244
AENJPLPP_00383	CDS	degV	Protein DegV		COG1307
AENJPLPP_00384	CDS		hypothetical protein		
AENJPLPP_00385	CDS		hypothetical protein		
AENJPLPP_00386	CDS	malL_1	Oligo-1,6-glucosidase	3.2.1.10	COG0366
AENJPLPP_00387	CDS		hypothetical protein		
AENJPLPP_00388	CDS	hmpT	Thiamine precursor transporter HmpT		COG4720
AENJPLPP_00389	CDS	pdxK	Pyridoxine kinase	2.7.1.35	COG0351
AENJPLPP_00390	CDS	menE	2-succinylbenzoate--CoA ligase	6.2.1.26	
AENJPLPP_00391	CDS	xerC_3	Tyrosine recombinase XerC		
AENJPLPP_00392	CDS	ysnF	Stress response protein YsnF		
AENJPLPP_00393	CDS	sasA_1	Adaptive-response sensory-kinase SasA	2.7.-.-	
AENJPLPP_00394	CDS	mprA	Response regulator MprA		
AENJPLPP_00395	CDS		putative ABC transporter permease		COG0577
AENJPLPP_00396	CDS	lolD_1	Lipoprotein-releasing system ATP-binding protein LolD	3.6.3.-	COG1136
AENJPLPP_00397	CDS	hrtA_1	Putative hemin import ATP-binding protein HrtA	3.6.3.-	COG1136
AENJPLPP_00398	CDS		hypothetical protein		
AENJPLPP_00399	CDS		hypothetical protein		
AENJPLPP_00400	CDS		hypothetical protein		
AENJPLPP_00401	CDS		hypothetical protein		
AENJPLPP_00402	CDS		hypothetical protein		
AENJPLPP_00403	CDS		hypothetical protein		
AENJPLPP_00404	CDS		hypothetical protein		
AENJPLPP_00405	CDS		hypothetical protein		
AENJPLPP_00406	CDS		hypothetical protein		
AENJPLPP_00407	CDS	ybbH_1	putative HTH-type transcriptional regulator YbbH		COG1737
AENJPLPP_00408	CDS	yhhX	putative oxidoreductase YhhX	1.-.-.-	COG0673
AENJPLPP_00409	CDS		hypothetical protein		
